CTID,species,tissue_class,tissue_type,uberonongology_id,cancer_type,major_cell_type,cell_name,cellontology_id,marker,Symbol,GeneID,Genetype,Genename,UNIPROTID,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,Phenotype_label,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence,curator
CT124,Human,Liver,Liver,,Hepatocelluar carcinoma,T cell,CD4+ TCM,,,"IL7R,ANXA1,CCR7,LTB,CXCR4,CRIP1,TSC22D3,CD2,RP11-138A9.2,CCR6",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,existence,clinical samples,immunohistochemistry,"IHC Kit (PerkinElmer, USA)",clinical data,"Indeed, the coexistence of CD8+ T, CD4+ TCM and CD20+ B cell aggregates is detected in four out of nine patients assessed by immunohistochemistry (IHC) assays (Fig. 2b and Supplementary Fig. 3d).",
CT125,Human,Liver,Liver,,Hepatocelluar carcinoma,B cell,CD20+ B cells,,,"MS4A1,CD79A,GPR183,BANK1,LY9,SMIM14,TNFRSF13C,RP5-887A10.1,EZR,CD37",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,"Clinical relevance analysis showed that higher abundances of CD4+ TCM or CD20+ B cells in tumors are associated with improved patient’s survival (Fig. 2d and Supplementary Fig. 4e), supporting their antitumor activities.",
CT126,Human,Liver,Liver,,Hepatocelluar carcinoma,B cell,CD20+ B cells,,,"MS4A1,CD79A,GPR183,BANK1,LY9,SMIM14,TNFRSF13C,RP5-887A10.1,EZR,CD37",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,existence,clinical samples,immunohistochemistry,"IHC Kit (PerkinElmer, USA)",clinical data,"Indeed, the coexistence of CD8+ T, CD4+ TCM and CD20+ B cell aggregates is detected in four out of nine patients assessed by immunohistochemistry (IHC) assays (Fig. 2b and Supplementary Fig. 3d).",
CT127,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophage,MMP9+ macrophages,,,"MMP9,SPP117,ITGAM,CD45,CD68",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,We further examined the clinical relevance of these two subtypes of TAMs in two additional HCC cohorts and found that higher abundance of MMP9+ TAMs in tumors is strongly associated with worse overall survival.,
CT128,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophage,MMP9+ macrophages,,,"MMP9,SPP117,ITGAM,CD45,CD68",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Biological phenotype,migration,cell line,co-culture,"China Center for Type Culture Collection (CCTCC; Wuhan city, China), Proteintech,Abcam",protein,"We observed that co-culturing with MMP9+ TAMs significantly promoted themigration and invasion ofHCC cells and the tube formation of human umbilical vein endothelial cells (HUVECs) (Fig. 3d–f and Supplementary Fig. 7a, b), suggesting that the MMP9+ TAMs could promote HCC progression through inducing HCC cells migration, invasion, and tumor angiogenesis.",
CT129,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophage,MMP9+ macrophages,,,"MMP9,SPP117,ITGAM,CD45,CD68",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Biological phenotype,invasion,cell line,co-culture,"China Center for Type Culture Collection (CCTCC; Wuhan city, China), Proteintech,Abcam",protein,"We observed that co-culturing with MMP9+ TAMs significantly promoted themigration and invasion ofHCC cells and the tube formation of human umbilical vein endothelial cells (HUVECs) (Fig. 3d–f and Supplementary Fig. 7a, b), suggesting that the MMP9+ TAMs could promote HCC progression through inducing HCC cells migration, invasion, and tumor angiogenesis.",
CT130,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophage,MMP9+ macrophages,,,"MMP9,SPP117,ITGAM,CD45,CD68",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Biological phenotype,angiogenesis,cell line,co-culture,"China Center for Type Culture Collection (CCTCC; Wuhan city, China), Proteintech,Abcam",protein,"We observed that co-culturing with MMP9+ TAMs significantly promoted themigration and invasion ofHCC cells and the tube formation of human umbilical vein endothelial cells (HUVECs) (Fig. 3d–f and Supplementary Fig. 7a, b), suggesting that the MMP9+ TAMs could promote HCC progression through inducing HCC cells migration, invasion, and tumor angiogenesis.",
CT131,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophage,SPP1+ macrophages,,," CD68, MAFB, CSF1R, CD14 ",,,,,35303421,Immune phenotypic linkage between colorectal cancer and liver metastasis,Cancer Cell,2022,single cell transcriptome,10× Genomics and Smart-seq2,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,Patients with higher levels of SPP1 alone or of the signature of SPP1+ TAMs were associated with worse overall survival (OS) in treatment-naive patients (Figures 5E and 5F).,
CT132,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophage,SPP1+ macrophages,,," CD68, MAFB, CSF1R, CD14 ",,,,,35303421,Immune phenotypic linkage between colorectal cancer and liver metastasis,Cancer Cell,2022,single cell transcriptome,10× Genomics and Smart-seq2,Clinical phenotype,higher proportion,clinical samples,Flow cytometry,BD Biosciences,protein,"The florescence-activated cell sorting (FACS) analysis further validated that SPP1+ TAMs were enriched in Liv.Mets despite their absence in non-metastatic HCC, and such enrichment in metastatic tumors was even higher compared with matched primary CRC tumors",
CT133,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophage,SPP1+ macrophages,,," CD68, MAFB, CSF1R, CD14 ",,,,,35303421,Immune phenotypic linkage between colorectal cancer and liver metastasis,Cancer Cell,2022,single cell transcriptome,10× Genomics and Smart-seq2,Clinical phenotype,higher proportion,clinical samples,immunohistochemistry,Abcam,protein,"Multicolor immunohistochemistry (IHC) also confirmed the existence of this TAM subset, indicated by the co-expression of CD68 and MARCO at both Pri.CT (Figure S5E) and Liv.Mets.",
CT134,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophage,TAM-like macrophages,,,"APOE, C1QA, C1QB, TREM2, SLC40A1, GPNMB",,,,,31675496,Landscape and Dynamics of Single Immune Cells in Hepatocellular Carcinoma,Cell,2019,single cell transcriptome,10× Genomics and Smart-seq2,Biological phenotype,existence,clinical samples,Multi-color immunohistochemistry,Abcam,protein,"We further performed multicolor immunohistochem istry (IHC) staining on tumor sections from HCC patients. Among CD68+ macrophages, mutually exclusive signals of S100A8 and SLC40A1 were detected on distinct cells (Figure 3E), supporting the presence of the two distinct macrophage states in HCC.",
CT135,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophage,MDSC-like macrophages,,,"FCN1, VCAN",,,,,31675496,Landscape and Dynamics of Single Immune Cells in Hepatocellular Carcinoma,Cell,2019,single cell transcriptome,10× Genomics and Smart-seq2,Biological phenotype,existence,clinical samples,Multi-color immunohistochemistry,Abcam,protein,"We further performed multicolor immunohistochem istry (IHC) staining on tumor sections from HCC patients. Among CD68+ macrophages, mutually exclusive signals of S100A8 and SLC40A1 were detected on distinct cells (Figure 3E), supporting the presence of the two distinct macrophage states in HCC.",
CT136,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophage,TAM-like macrophages,,,"APOE, C1QA, C1QB, TREM2, SLC40A1, GPNMB",,,,,31675496,Landscape and Dynamics of Single Immune Cells in Hepatocellular Carcinoma,Cell,2019,single cell transcriptome,10× Genomics and Smart-seq2,Clinical phenotype,worse overall survival,clinical samples,survival analysis,analysis,clinical data,"Only the TAM-like signature was associated with a poor prognosis (p = 0.01, Cox regression).",
CT137,Human,Liver,Liver,,Hepatocelluar carcinoma,dendritic cell,LAMP3+ DCs,,,"LAMP3, CD80, CD83, CCR7, CCL19, CCL21",,,,,31675496,Landscape and Dynamics of Single Immune Cells in Hepatocellular Carcinoma,Cell,2019,single cell transcriptome,10× Genomics and Smart-seq2,Biological phenotype,interaction,clinical samples,Multi-color immunohistochemistry,Abcam,protein,Multicolor IHC staining of HCC tumors also showed the physical juxtaposition of PD-1-expressing T cells (CD3+ CD4+ or CD3+ CD8+ ) and PD-L1-expressing LAMP3+ DCs (CD80+ ) (Figures 7F and S7D).,
CT138,Human,Liver,Liver,,Hepatocelluar carcinoma,dendritic cell,LAMP3+ DCs,,,"LAMP3, CD80, CD83, CCR7, CCL19, CCL21",,,,,31675496,Landscape and Dynamics of Single Immune Cells in Hepatocellular Carcinoma,Cell,2019,single cell transcriptome,10× Genomics and Smart-seq2,Biological phenotype,migration,cell line,Transwell Assays,"24-well transwell chambers (Corning Costar, Cambridge, MA)",protein,"Using a Transwell migration assay (Figure S6F), we showed that mo-DCs matured with either CD40L+PGE2 or a commercial DC maturation supplement resulted in an increased level of LAMP3, and these matured DCs migrated more readily than immature DCs toward CCL19 (Figures 6B, S6G, and S6H).",
CT139,Human,Liver,Liver,,Hepatocelluar carcinoma,T cell,tumor-infiltrating Tregs,,,"FOXP3, CTLA4, TNFRSF18, TNFRSF4, CCR8",,,,,28622514,Landscape of Infiltrating T Cells in Liver Cancer Revealed by Single-Cell Sequencing,Cell,2017,single cell transcriptome,Smart-seq2,Clinical phenotype,worse overall survival,clinical samples,reduced disease-free survival rate,analysis,clinical data," In addition, by interrogating the TCGA HCC survival data with respect to LAYN expression after normalizing the effect of T cell infiltration levels by total CD3 expression, we found that higher expression of LAYN was associated with reduced disease-free survival rate (p = 0.002, log rank test, Figure 4B).",
CT140,Human,Liver,Liver,,Hepatocelluar carcinoma,T cell,tumor-infiltrating Tregs,,,"FOXP3, CTLA4, TNFRSF18, TNFRSF4, CCR8",,,,,28622514,Landscape of Infiltrating T Cells in Liver Cancer Revealed by Single-Cell Sequencing,Cell,2017,single cell transcriptome,Smart-seq2,Biological phenotype,higher expression,clinical samples,Flow cytometry,BD Bioscience,protein,"However, after T cells were activated by anti-CD3 and anti-CD28 antibodies for 2 days, we readily detected LAYN presence on >30% Tregs and CD8+ T cells, although on CD4+ T cells LAYN was only mini mally upregulated (Figure 4C).",
CT141,Human,Liver,Liver,,Hepatocelluar carcinoma,T cell,exhausted CD8+ T cells,,,"CTLA4, PDCD1, HAVCR2",,,,,28622514,Landscape of Infiltrating T Cells in Liver Cancer Revealed by Single-Cell Sequencing,Cell,2017,single cell transcriptome,Smart-seq2,Biological phenotype,higher expression,clinical samples,Flow cytometry,BD Bioscience,protein,"Interestingly, the LAYN-overexpressed CD8+ T cells produced significantly less IFN-g than that by control virus infected cells (Figure 4G), supporting an inhibitory role of LAYN in CD8+ T cells.",
CT142,Human,Liver,Liver,,Hepatocelluar carcinoma,T cell,"CD8+
FOXP3+ regulatory T cells",,,"FOXP3, CTLA4, PRF1, GZMA, NKG7",,,,,28622514,Landscape of Infiltrating T Cells in Liver Cancer Revealed by Single-Cell Sequencing,Cell,2017,single cell transcriptome,Smart-seq2,Biological phenotype,existence,clinical samples,Multi-color immunohistochemistry,Abcam,protein,We further confirmed the presence of these CD8+ FOXP3+ regulatory T cells in HCC by multi-color IHC (Figure 7F).,
CT143,Human,Liver,Liver,,Hepatocelluar carcinoma,Neutrophil,CCL4+ TANs,,,"CCL4, IRAK2",,,,,36352227,Liver tumour immune microenvironment subtypes and neutrophil heterogeneity,Nature,2022,single cell transcriptome,10× Genomics,Biological phenotype,expression,clinical samples,Multi-color immunohistochemistry,"AlphaTSA Multiplex IHC Kit (AXT36100031, AlphaX)",protein,"CCL4+  TANs (Neu_11_CCL4) expressed  high levels of chemokine genes CCL3 and CCL4, confirmed by mIHC  (Fig. 3d and Extended Data Fig. 8g).",
CT144,Human,Liver,Liver,,Hepatocelluar carcinoma,Neutrophil,CCL4+ TANs,,,"CCL4, IRAK2",,,,,36352227,Liver tumour immune microenvironment subtypes and neutrophil heterogeneity,Nature,2022,single cell transcriptome,10× Genomics,Biological phenotype,chemokine-secreting,clinical samples,co-culture,"American Type Culture Collection (ATCC), Liver Cancer Institute, Zhongshan Hospital, Fudan University (Shanghai, China).",protein,"CCL4+  TANs were predicted to recruit  macrophages through CCL4–CCR5 (Extended Data Fig. 8i). Consistently,  more autologous monocytes were recruited in the chemotactic assay  when co-cultured with TANs (Fig. 3h and Extended Data Fig. 8j).",
CT145,Human,Liver,Liver,,Hepatocelluar carcinoma,Neutrophil,CCL4+ TANs,,,"CCL4, IRAK2",,,,,36352227,Liver tumour immune microenvironment subtypes and neutrophil heterogeneity,Nature,2022,single cell transcriptome,10× Genomics,Clinical phenotype,tumor promotion,mice,Xenograft mouse model,"C57BL/6, Jackson Laboratory",protein,"Furthermore, we performed the Ly6G blockade thera peutically in pTMC mice with the luciferase reporter (pTMC-Luc)  (Fig. 4i). Ly6G blockade at 36 days after tumour formation (at 7 days)  showed substantial reductions in bioluminescence signal and tumour  burdens (Fig. 4j).",
CT146,Human,Liver,Liver,,Hepatocelluar carcinoma,Neutrophil,IFIT1+ TANs,,,"IFIT1, CD274",,,,,36352227,Liver tumour immune microenvironment subtypes and neutrophil heterogeneity,Nature,2022,single cell transcriptome,10× Genomics,Biological phenotype,expression,clinical samples,Fluorescence-activated cell sorting (FACS) ,BD Bioscience,protein,Fluorescence-activated cell sorting (FACS) analysis further  showed significantly higher PD-L1 expression in in vitro induced TANs  compared with in the controls (Fig. 3k and Extended Data Fig. 8k).,
CT147,Human,Liver,Liver,,Hepatocelluar carcinoma,Neutrophil,IFIT1+ TANs,,,"IFIT1, CD274",,,,,36352227,Liver tumour immune microenvironment subtypes and neutrophil heterogeneity,Nature,2022,single cell transcriptome,10× Genomics,Biological phenotype,suppressive,clinical samples,co-culture,"American Type Culture Collection (ATCC), Liver Cancer Institute, Zhongshan Hospital, Fudan University (Shanghai, China).",protein,"After adding anti-PD-L1 antibodies,  the decline in IFNγ in CD8+  T cells was reversed in the PBN-MHCC97H  group compared with in the controls (Fig. 3o and Extended Data  Fig. 9d), confirming that PD-L1 mediates the suppressive function of  TANs",
